Electoral District Number / No de circonscription,Electoral District Name,Nom de la circonscription,Political Affiliation,Appartenance politique,Candidate's Family Name / Nom de famille du candidat,Candidate's First Name / Prénom du candidat, Candidate's Initial(s) / Initiale(s) du candidat, Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat,Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation,Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24050,Montcalm,Montcalm,Liberal Party of Canada,Parti libéral du Canada,Thouin,Louis-Charles,,(514) 965-2417,23-Sep-15,12:35:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Green Party of Canada,Le Parti Vert du Canada,Breton,Chantal,,(450) 652-3333,22-Sep-15,3:25:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Rhinoceros Party,Parti Rhinocéros,Gagné,Bien Gras,,(819) 578-6455,15-Sep-15,11:00:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Bloc Québécois,Bloc Québécois,Gagnon,Louis,,(418) 314-1501,29-Aug-15,10:08:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Conservative Party of Canada,Parti conservateur du Canada,Généreux,Bernard,,(418) 605-9001,18-Aug-15,1:30:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,New Democratic Party,Nouveau Parti démocratique,Lapointe,François,,(418) 358-0658,5-Sep-15,1:49:00
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Liberal Party of Canada,Parti libéral du Canada,Normand,Marie-Josée,,,9-Sep-15,3:05:00
24052,Mount Royal,Mont-Royal,Bloc Québécois,Bloc Québécois,Bossé Bélanger,Jade,,(514) 526-3000,18-Sep-15,12:00:00
24052,Mount Royal,Mont-Royal,Liberal Party of Canada,Parti libéral du Canada,Housefather,Anthony,,(514) 576-4785,20-Aug-15,2:00:00
24052,Mount Royal,Mont-Royal,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Johnston,Diane,,(416) 253-4475,12-Sep-15,5:05:00
24052,Mount Royal,Mont-Royal,Green Party of Canada,Le Parti Vert du Canada,Landry,Timothy,,(514) 708-1797,27-Sep-15,1:52:00
24052,Mount Royal,Mont-Royal,Conservative Party of Canada,Parti conservateur du Canada,Libman,Robert,,(514) 360-6030,24-Aug-15,4:00:00
24052,Mount Royal,Mont-Royal,New Democratic Party,Nouveau Parti démocratique,Rimbao,Mario Jacinto,,,12-Sep-15,1:30:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Independent,Indépendant,Cahn,Lisa Julie,,,28-Aug-15,10:46:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Liberal Party of Canada,Parti libéral du Canada,Garneau,Marc,,(438) 346-6512,15-Aug-15,9:11:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Hoffman,Rachel,,(416) 253-4475,11-Sep-15,12:05:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,New Democratic Party,Nouveau Parti démocratique,Hughes,James,,(514) 700-2799,2-Sep-15,5:02:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Bloc Québécois,Bloc Québécois,Quesnel,Simon,,,17-Sep-15,4:38:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Conservative Party of Canada,Parti conservateur du Canada,Sagala,Richard,,,14-Aug-15,1:15:00
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount,Green Party of Canada,Le Parti Vert du Canada,Wheeler,Melissa Kate,,,28-Aug-15,3:15:00
24054,Outremont,Outremont,Liberal Party of Canada,Parti libéral du Canada,Bendayan,Rachel,,(514) 447-3637,28-Aug-15,5:00:00
24054,Outremont,Outremont,Green Party of Canada,Le Parti Vert du Canada,Diallo,Amara,,,28-Sep-15,1:30:00
24054,Outremont,Outremont,Bloc Québécois,Bloc Québécois,Galland Barou,Roger,,(438) 499-3176,9-Sep-15,7:45:00
24054,Outremont,Outremont,Conservative Party of Canada,Parti conservateur du Canada,Husny,Rodolphe,,(514) 592-2850,11-Sep-15,6:00:00
24054,Outremont,Outremont,New Democratic Party,Nouveau Parti démocratique,Mulcair,Tom,,(438) 386-0777,30-Aug-15,11:30:00
24054,Outremont,Outremont,Libertarian Party of Canada,Parti Libertarien du Canada,Pouliot,Francis,,(438) 825-0307,28-Sep-15,3:00:00
24054,Outremont,Outremont,Communist Party of Canada,Parti communiste du Canada,Welsh,Adrien,,(514) 512-6222,9-Sep-15,5:15:00
24055,Papineau,Papineau,No Affiliation,Aucune appartenance,Bernardo,Beverly,,(514) 272-5840,25-Aug-15,3:15:00
24055,Papineau,Papineau,Bloc Québécois,Bloc Québécois,Claveau,Maxime,,,28-Aug-15,3:10:00
24055,Papineau,Papineau,Rhinoceros Party,Parti Rhinocéros,Gaudet,Tommy,,(514) 903-8383,25-Sep-15,12:00:00
24055,Papineau,Papineau,New Democratic Party,Nouveau Parti démocratique,Lagacé Dowson,Anne,,(514) 590-0036,2-Sep-15,10:03:00
24055,Papineau,Papineau,Independent,Indépendant,Lloyd,Chris,,(438) 738-2335,16-Sep-15,2:31:00
24055,Papineau,Papineau,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Macrisopoulos,Peter,,(416) 253-4475,13-Sep-15,2:59:00
24055,Papineau,Papineau,Green Party of Canada,Le Parti Vert du Canada,Polifroni,Danny,,,25-Aug-15,9:50:00
24055,Papineau,Papineau,Liberal Party of Canada,Parti libéral du Canada,Trudeau,Justin,,(514) 447-3044,26-Aug-15,10:42:00
24055,Papineau,Papineau,Conservative Party of Canada,Parti conservateur du Canada,Vadnais,Yvon,,(514) 823-8330,22-Sep-15,10:05:00
24055,Papineau,Papineau,Independent,Indépendant,Waldron,Kim,,,20-Sep-15,3:35:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Conservative Party of Canada,Parti conservateur du Canada,Assouline,Valérie,,(514) 621-4555,15-Aug-15,12:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Liberal Party of Canada,Parti libéral du Canada,Baylis,Frank,,(514) 279-6211,30-Aug-15,12:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,New Democratic Party,Nouveau Parti démocratique,Blanchette-Lamothe,Lysane,,,16-Aug-15,2:00:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Bloc Québécois,Bloc Québécois,Laplante,Natalie,,(514) 552-9803,11-Sep-15,6:30:00
24056,Pierrefonds--Dollard,Pierrefonds--Dollard,Green Party of Canada,Le Parti Vert du Canada,Weizfeld,Abraham,,,17-Sep-15,11:00:00
24057,Pontiac,Pontiac,Liberal Party of Canada,Parti libéral du Canada,Amos,William,,1 888 479-0616,26-Aug-15,9:30:00
24057,Pontiac,Pontiac,Green Party of Canada,Le Parti Vert du Canada,Griffiths,Colin,,(819) 600-7336,26-Aug-15,10:50:00
24057,Pontiac,Pontiac,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Lang,Louis,,(416) 253-4475,3-Sep-15,12:25:00
24057,Pontiac,Pontiac,Bloc Québécois,Bloc Québécois,Lepage,Nicolas,,,4-Sep-15,5:40:00
24057,Pontiac,Pontiac,Forces et Démocratie,Forces et Démocratie,Médieu,Pascal,,(819) 661-5960,2-Sep-15,2:15:00
24057,Pontiac,Pontiac,New Democratic Party,Nouveau Parti démocratique,Ravignat,Mathieu,,(819) 665-7148,28-Aug-15,11:15:00
24057,Pontiac,Pontiac,Conservative Party of Canada,Parti conservateur du Canada,Woodman,Benjamin,,(819) 431-4868,10-Sep-15,4:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Liberal Party of Canada,Parti libéral du Canada,Gauvin,David,,(418) 800-3839,19-Sep-15,5:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Conservative Party of Canada,Parti conservateur du Canada,Godin,Joël,,(418) 908-1919,21-Aug-15,3:30:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Bloc Québécois,Bloc Québécois,Harvey,Raymond,,(418) 285-7737,25-Aug-15,3:00:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,New Democratic Party,Nouveau Parti démocratique,Michaud,Élaine,,(581) 997-1471,19-Aug-15,11:54:00
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Green Party of Canada,Le Parti Vert du Canada,Morin,Johanne,,(418) 909-0623,28-Sep-15,10:00:00
24059,Québec,Québec,Conservative Party of Canada,Parti conservateur du Canada,Asselin,Pierre-Thomas,,,1-Sep-15,8:40:00
24059,Québec,Québec,Liberal Party of Canada,Parti libéral du Canada,Duclos,Jean-Yves,,,21-Aug-15,9:30:00
24059,Québec,Québec,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Fournier,Normand,,(416) 253-4475,2-Sep-15,9:45:00
24059,Québec,Québec,Bloc Québécois,Bloc Québécois,Mordret,Charles,,,26-Aug-15,3:20:00
24059,Québec,Québec,New Democratic Party,Nouveau Parti démocratique,Papillon,Annick,,,28-Aug-15,9:23:00
24059,Québec,Québec,Forces et Démocratie,Forces et Démocratie,Provost,Danielle,,(418) 659-3678,22-Sep-15,8:23:00
24059,Québec,Québec,Green Party of Canada,Le Parti Vert du Canada,Riboty,Philippe,,,18-Sep-15,12:20:00
24060,Repentigny,Repentigny,New Democratic Party,Nouveau Parti démocratique,Bellemare,Réjean,,(450) 580-3085,2-Sep-15,4:40:00
24060,Repentigny,Repentigny,Forces et Démocratie,Forces et Démocratie,Cloutier,Johnathan,,(514) 895-5432,4-Sep-15,12:20:00
24060,Repentigny,Repentigny,Liberal Party of Canada,Parti libéral du Canada,Dudas,Adriana,,,17-Sep-15,6:40:00
24060,Repentigny,Repentigny,Green Party of Canada,Le Parti Vert du Canada,Gilbert,Yoland,,(514) 770-7994,23-Sep-15,9:20:00
24060,Repentigny,Repentigny,Conservative Party of Canada,Parti conservateur du Canada,Lefebvre,Jonathan,,(514) 462-1825,11-Sep-15,10:15:00
24060,Repentigny,Repentigny,Bloc Québécois,Bloc Québécois,Pauzé,Monique,,(450) 932-6565,24-Aug-15,1:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,New Democratic Party,Nouveau Parti démocratique,Beaulieu,Myriam,,(819) 330-2001,10-Sep-15,9:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Green Party of Canada,Le Parti Vert du Canada,Busque,Laurier,,(819) 432-2046,17-Sep-15,2:00:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Liberal Party of Canada,Parti libéral du Canada,Desmarais,Marc,,(819) 644-0447,29-Aug-15,9:00:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Rhinoceros Party,Parti Rhinocéros,Dubois,Antoine,,,3-Sep-15,12:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Bloc Québécois,Bloc Québécois,Nolin,Olivier,,(819) 350-1550,14-Aug-15,1:30:00
24061,Richmond--Arthabaska,Richmond--Arthabaska,Conservative Party of Canada,Parti conservateur du Canada,Rayes,Alain,,(819) 604-9114,20-Aug-15,11:20:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Conservative Party of Canada,Parti conservateur du Canada,Gauthier,Érick,,,1-Sep-15,3:50:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Liberal Party of Canada,Parti libéral du Canada,Lapointe,Linda,,,28-Aug-15,12:05:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,New Democratic Party,Nouveau Parti démocratique,Liu,Laurin,,(450) 818-7677,14-Aug-15,4:30:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Bloc Québécois,Bloc Québécois,Pinel,Félix,,,14-Aug-15,11:50:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Independent,Indépendant,Quinteros,Luis,,,28-Sep-15,12:40:00
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Green Party of Canada,Le Parti Vert du Canada,Ware,Alec,,(450) 472-2793,15-Sep-15,1:00:00
24063,Rivière-du-Nord,Rivière-du-Nord,Liberal Party of Canada,Parti libéral du Canada,Bélair Rolland,Janice,,(450) 848-5084,23-Sep-15,2:00:00
24063,Rivière-du-Nord,Rivière-du-Nord,Rhinoceros Party,Parti Rhinocéros,Côté,Fobozof A.,,(450) 438-4055,29-Sep-15,8:30:00
24063,Rivière-du-Nord,Rivière-du-Nord,New Democratic Party,Nouveau Parti démocratique,Dionne Labelle,Pierre,,(450) 990-2392,16-Aug-15,1:30:00
24063,Rivière-du-Nord,Rivière-du-Nord,Bloc Québécois,Bloc Québécois,Fortin,Rhéal,,,19-Aug-15,6:45:00
24063,Rivière-du-Nord,Rivière-du-Nord,Green Party of Canada,Le Parti Vert du Canada,Leckman,Joey,,,20-Aug-15,6:10:00
24063,Rivière-du-Nord,Rivière-du-Nord,Conservative Party of Canada,Parti conservateur du Canada,Vignol,Romain,,,17-Sep-15,3:00:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Rhinoceros Party,Parti Rhinocéros,Aglat,Laurent,,,27-Sep-15,12:05:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bloc Québécois,Bloc Québécois,André,Claude,,(438) 386-3277,26-Aug-15,11:35:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,New Democratic Party,Nouveau Parti démocratique,Boulerice,Alexandre,,(514) 613-3114,15-Aug-15,1:15:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Chénier,Stéphane,,(416) 253-4475,31-Aug-15,1:30:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Libertarian Party of Canada,Parti Libertarien du Canada,d'Entremont,Peter,,(514) 404-6887,28-Sep-15,7:00:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Conservative Party of Canada,Parti conservateur du Canada,Dohan,Jeremy,,,15-Sep-15,9:10:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Liberal Party of Canada,Parti libéral du Canada,Medawar,Nadine,,,11-Sep-15,6:25:00
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Green Party of Canada,Le Parti Vert du Canada,Muldeen,Sameer,,,27-Sep-15,12:37:00
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Bloc Québécois,Bloc Québécois,Jasmin-Tremblay,Patrice,,(450) 328-0216,27-Aug-15,11:50:00
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,New Democratic Party,Nouveau Parti démocratique,Lemieux,Marie-Josée,,(450) 963-2995,28-Aug-15,2:30:00
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Conservative Party of Canada,Parti conservateur du Canada,Makridis,Nicolas,,(514) 949-5221,21-Sep-15,3:20:00
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Green Party of Canada,Le Parti Vert du Canada,Mungur,Lorna,,,25-Sep-15,10:22:00
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Liberal Party of Canada,Parti libéral du Canada,Robillard,Yves,,(450) 937-7329,10-Sep-15,8:45:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Green Party of Canada,Le Parti Vert du Canada,Durand,Lise,,,27-Sep-15,12:15:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Bloc Québécois,Bloc Québécois,Filion,Michel,,(450) 250-7132,2-Sep-15,3:50:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Conservative Party of Canada,Parti conservateur du Canada,Léveillé,Réjean,,(450) 768-7755,11-Aug-15,2:37:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Independent,Indépendant,Ménard,Ugo,,(450) 847-1432,29-Aug-15,10:25:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,New Democratic Party,Nouveau Parti démocratique,Sansoucy,Brigitte,,,19-Aug-15,2:45:00
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Liberal Party of Canada,Parti libéral du Canada,Vincelette,René,,(450) 502-4246,20-Aug-15,4:35:00
24067,Saint-Jean,Saint-Jean,Conservative Party of Canada,Parti conservateur du Canada,Guinta,Stéphane,,(514) 914-5729,10-Sep-15,9:00:00
24067,Saint-Jean,Saint-Jean,Bloc Québécois,Bloc Québécois,Hurtubise,Denis,,,28-Aug-15,9:00:00
24067,Saint-Jean,Saint-Jean,New Democratic Party,Nouveau Parti démocratique,Marotte,Hans,,,25-Aug-15,10:00:00
24067,Saint-Jean,Saint-Jean,Green Party of Canada,Le Parti Vert du Canada,Redivo,Marilyn,,,27-Sep-15,12:30:00
24067,Saint-Jean,Saint-Jean,Liberal Party of Canada,Parti libéral du Canada,Rioux,Jean,,(450) 741-6341,2-Sep-15,8:30:00
24068,Saint-Laurent,Saint-Laurent,New Democratic Party,Nouveau Parti démocratique,Ackad,Alain,,(438) 381-1922,3-Sep-15,3:30:00
24068,Saint-Laurent,Saint-Laurent,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Deschamps,Fernand,,(416) 253-4475,9-Sep-15,11:00:00
24068,Saint-Laurent,Saint-Laurent,Liberal Party of Canada,Parti libéral du Canada,Dion,Stéphane,,(514) 336-3466,26-Aug-15,4:00:00
24068,Saint-Laurent,Saint-Laurent,Bloc Québécois,Bloc Québécois,Dumas-Dubreuil,Pascal-Olivier,,(514) 552-9803,27-Aug-15,3:00:00
24068,Saint-Laurent,Saint-Laurent,Green Party of Canada,Le Parti Vert du Canada,Tromp,John,,(438) 969-2998,25-Aug-15,4:00:00
24068,Saint-Laurent,Saint-Laurent,Conservative Party of Canada,Parti conservateur du Canada,Yu,Jimmy,,(514) 293-8808,11-Sep-15,6:00:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Liberal Party of Canada,Parti libéral du Canada,Di Iorio,Nicola,,(514) 327-7747,18-Sep-15,3:15:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,New Democratic Party,Nouveau Parti démocratique,Filato,Rosannie,,,18-Aug-15,11:45:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Conservative Party of Canada,Parti conservateur du Canada,Fournier,Jean Philippe,,,9-Sep-15,12:20:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Bloc Québécois,Bloc Québécois,Gendron,Steeve,,(514) 526-3000,11-Sep-15,8:00:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Malek,Arezki,,(416) 253-4475,12-Sep-15,5:30:00
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Green Party of Canada,Le Parti Vert du Canada,Miscione,Melissa,,,16-Sep-15,10:35:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Bédard,Jean-Paul,,(514) 522-1373,4-Sep-15,10:21:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Bloc Québécois,Bloc Québécois,Carignan Deschamps,Sacki,,(819) 729-0216,17-Aug-15,2:12:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Liberal Party of Canada,Parti libéral du Canada,Champagne,François-Philippe,,(819) 448-2017,12-Aug-15,12:24:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Conservative Party of Canada,Parti conservateur du Canada,Grenier,Jacques,,(819) 840-3754,15-Aug-15,10:30:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Green Party of Canada,Le Parti Vert du Canada,Toupin,Martial,,(819) 376-2203,23-Sep-15,10:20:00
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,New Democratic Party,Nouveau Parti démocratique,Tremblay,Jean-Yves,,(819) 731-4560,4-Sep-15,10:21:00
24071,Salaberry--Suroît,Salaberry--Suroît,Bloc Québécois,Bloc Québécois,DeBellefeuille,Claude,,(450) 371-0111,19-Aug-15,1:27:00
24071,Salaberry--Suroît,Salaberry--Suroît,Conservative Party of Canada,Parti conservateur du Canada,De Martin,Albert,,,18-Aug-15,10:40:00
24071,Salaberry--Suroît,Salaberry--Suroît,Forces et Démocratie,Forces et Démocratie,Domingos,Patricia,,(450) 764-3291,11-Sep-15,1:47:00
24071,Salaberry--Suroît,Salaberry--Suroît,Independent,Indépendant,Larocque,Sylvain,,(450) 854-2048,26-Sep-15,1:00:00
24071,Salaberry--Suroît,Salaberry--Suroît,New Democratic Party,Nouveau Parti démocratique,Quach,Anne Minh-Thu,,(450) 747-1923,20-Aug-15,4:40:00
24071,Salaberry--Suroît,Salaberry--Suroît,Liberal Party of Canada,Parti libéral du Canada,Sauvé,Robert,,,3-Sep-15,10:00:00
24071,Salaberry--Suroît,Salaberry--Suroît,Green Party of Canada,Le Parti Vert du Canada,Socrates,Nicola-Silverado,,,28-Sep-15,11:15:00
24072,Shefford,Shefford,Bloc Québécois,Bloc Québécois,Beaudoin,Jocelyn,,(450) 305-1340,12-Aug-15,1:00:00
24072,Shefford,Shefford,Liberal Party of Canada,Parti libéral du Canada,Breton,Pierre,,(450) 305-6505,22-Aug-15,9:03:00
24072,Shefford,Shefford,Conservative Party of Canada,Parti conservateur du Canada,Fontaine,Sylvie,,(450) 991-4044,4-Sep-15,11:00:00
24072,Shefford,Shefford,New Democratic Party,Nouveau Parti démocratique,Mailhot,Claire,,(450) 522-4663,30-Aug-15,11:00:00
24072,Shefford,Shefford,Green Party of Canada,Le Parti Vert du Canada,McMillan,Simon,,,27-Sep-15,12:35:00
24073,Sherbrooke,Sherbrooke,Liberal Party of Canada,Parti libéral du Canada,Allen,Thomas ''Tom'',,(819) 200-5505,1-Sep-15,4:15:00
24073,Sherbrooke,Sherbrooke,Bloc Québécois,Bloc Québécois,Bouchard,Caroline,,(819) 987-1108,26-Aug-15,11:00:00
24073,Sherbrooke,Sherbrooke,Conservative Party of Canada,Parti conservateur du Canada,Dauphin,Marc,,(819) 791-7301,18-Aug-15,2:40:00
24073,Sherbrooke,Sherbrooke,New Democratic Party,Nouveau Parti démocratique,Dusseault,Pierre-Luc,,(819) 987-4511,25-Aug-15,3:15:00
24073,Sherbrooke,Sherbrooke,Independent,Indépendant,Huberdeau,Benoit,,,23-Sep-15,11:28:00
24073,Sherbrooke,Sherbrooke,Green Party of Canada,Le Parti Vert du Canada,Malouin,Sophie,,,28-Sep-15,3:35:00
24073,Sherbrooke,Sherbrooke,Rhinoceros Party,Parti Rhinocéros,Richard,Hubert,,(819) 563-9972,26-Sep-15,2:15:00
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Conservative Party of Canada,Parti conservateur du Canada,Boudreau,Marc,,(514) 442-7616,2-Sep-15,3:30:00
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Bloc Québécois,Bloc Québécois,François,Vincent,,(450) 510-2002,3-Sep-15,1:40:00
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Green Party of Canada,Le Parti Vert du Canada,Kaszel,Jennifer,,(514) 453-3663,21-Sep-15,4:45:00
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,New Democratic Party,Nouveau Parti démocratique,Nicholls,Jamie,,(450) 218-2359,24-Aug-15,10:00:00
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges,Liberal Party of Canada,Parti libéral du Canada,Schiefke,Peter,,(450) 218-7177,30-Aug-15,1:30:00
24075,Terrebonne,Terrebonne,Liberal Party of Canada,Parti libéral du Canada,Audette,Michèle,,(450) 312-1301,22-Sep-15,12:15:00
24075,Terrebonne,Terrebonne,New Democratic Party,Nouveau Parti démocratique,Borg,Charmaine,,(450) 416-6262,18-Aug-15,1:22:00
24075,Terrebonne,Terrebonne,Bloc Québécois,Bloc Québécois,Boudrias,Michel,,(450) 492-9677,25-Aug-15,1:23:00
24075,Terrebonne,Terrebonne,Green Party of Canada,Le Parti Vert du Canada,Moen,Susan,,,23-Sep-15,7:15:00
24075,Terrebonne,Terrebonne,Forces et Démocratie,Forces et Démocratie,Sénat,Louis Clément,,(514) 979-0184,16-Sep-15,3:00:00
24075,Terrebonne,Terrebonne,Conservative Party of Canada,Parti conservateur du Canada,Surprenant,Michel,,(514) 462-1825,24-Aug-15,3:20:00
24076,Trois-Rivières,Trois-Rivières,New Democratic Party,Nouveau Parti démocratique,Aubin,Robert,,(819) 840-0131,18-Aug-15,3:45:00
24076,Trois-Rivières,Trois-Rivières,Liberal Party of Canada,Parti libéral du Canada,Boivin,Yvon,,(819) 448-2018,19-Aug-15,10:10:00
24076,Trois-Rivières,Trois-Rivières,Libertarian Party of Canada,Parti Libertarien du Canada,Rousseau,Maxime,,(819) 448-7704,25-Sep-15,1:50:00
24076,Trois-Rivières,Trois-Rivières,Conservative Party of Canada,Parti conservateur du Canada,Therrien,Dominic,,(819) 375-6776,19-Aug-15,4:20:00
24076,Trois-Rivières,Trois-Rivières,Green Party of Canada,Le Parti Vert du Canada,Trottier,Éric,,(819) 944-1674,22-Sep-15,11:00:00
24076,Trois-Rivières,Trois-Rivières,Bloc Québécois,Bloc Québécois,Valois,André,,(819) 840-2978,28-Aug-15,11:55:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Green Party of Canada,Le Parti Vert du Canada,Green,Daniel,,(438) 968-3384,13-Aug-15,2:15:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Liberal Party of Canada,Parti libéral du Canada,Miller,Marc,,(514) 935-3207,21-Aug-15,10:27:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Conservative Party of Canada,Parti conservateur du Canada,Shanahan,Steve,,,11-Sep-15,1:53:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Communist Party of Canada,Parti communiste du Canada,Sloan,William,,(438) 933-1848,14-Sep-15,2:07:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Bloc Québécois,Bloc Québécois,St-Onge,Chantal,,(514) 526-3000,5-Sep-15,1:02:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,New Democratic Party,Nouveau Parti démocratique,Turner,Allison,,(514) 932-4444,19-Aug-15,4:04:00
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Rhinoceros Party,Parti Rhinocéros,Wolfe,Daniel,,0,15-Sep-15,8:18:00
